broker,creative_id,format_name,days_running,first_shown_date,last_shown_date,countries_found_in,country_count,call_to_action,video_link,image_url,transparency_url
AxiCorp,CR05273987825354670081,Text,306,2025-10-22,2026-08-23,Dominican Republic,1,,,https://tpc.googlesyndication.com/archive/simgad/1257089002862972139,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR05273987825354670081?region=DO
AxiCorp,CR16375495210450288641,Text,262,2025-11-17,2026-08-22,Puerto Rico,1,,,https://tpc.googlesyndication.com/archive/simgad/3049786016007655108,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR16375495210450288641?region=PR
AxiCorp,CR04109387608885297153,Text,175,2026-01-27,2026-07-20,Mexico,1,,,https://tpc.googlesyndication.com/archive/simgad/2950562523385528707,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR04109387608885297153?region=MX
AxiCorp,CR08641736759492739073,Text,169,2025-04-07,2025-09-23,Argentina,1,,,https://tpc.googlesyndication.com/archive/simgad/15274579483599590816,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR08641736759492739073?region=AR
AxiCorp,CR17269050486229565441,Text,168,2025-08-14,2026-01-28,Mexico,1,,,https://tpc.googlesyndication.com/archive/simgad/1784741199668813901,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR17269050486229565441?region=MX
AxiCorp,CR09463021367906533377,Text,167,2025-04-07,2025-09-23,Argentina,1,,,https://tpc.googlesyndication.com/archive/simgad/2205121419029623577,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR09463021367906533377?region=AR
AxiCorp,CR11153396525676101633,Text,162,2025-04-17,2025-09-25,Puerto Rico,1,,,https://tpc.googlesyndication.com/archive/simgad/13141380485677054258,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR11153396525676101633?region=PR
AxiCorp,CR12127085437248339969,Video,161,2025-04-17,2025-09-25,Puerto Rico,1,,https://www.youtube.com/embed/z7Q0BeX_E2Q,,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR12127085437248339969?region=PR
AxiCorp,CR08202081367085809665,Text,158,2025-04-07,2025-09-12,Colombia,1,,,https://tpc.googlesyndication.com/archive/simgad/7515490950878212540,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR08202081367085809665?region=CO
AxiCorp,CR08314293125770117121,Text,158,2025-04-07,2025-09-12,Colombia,1,,,https://tpc.googlesyndication.com/archive/simgad/807034913549474478,https://adstransparency.google.com/advertiser/AR06413346871212769281/creative/CR08314293125770117121?region=CO
